2022-07-19T15:32:03
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061621.6125480 7001289F:109:CB97UANXX:1:2103:1415:26280/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125481 7001289F:109:CB97UANXX:1:2305:18840:63972/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125484 7001289F:109:CB97UANXX:1:2210:6618:9589/2	R2	-	-	-	+	-	0.000000
ERR2061621.6125485 7001289F:109:CB97UANXX:1:2209:6553:96962/2	R2	-	-	+	-	-	0.540984
ERR2061621.6125486 7001289F:109:CB97UANXX:1:1113:6068:55687/2	R2	-	-	+	-	-	0.540984
ERR2061621.6125487 7001289F:109:CB97UANXX:1:2109:13866:80590/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125488 7001289F:109:CB97UANXX:1:2315:1736:29415/1	R1	+	-	-	+	0.830508	0.000000
ERR2061621.6125489 7001289F:109:CB97UANXX:1:1215:20009:40659/2	R2	-	-	+	-	-	0.714286
ERR2061621.6125490 7001289F:109:CB97UANXX:1:2302:10049:94847/2	R2	-	-	+	-	-	0.781250
ERR2061621.6125491 7001289F:109:CB97UANXX:1:1215:17210:65972/2	R2	-	-	+	-	-	0.891892
ERR2061621.6125492 7001289F:109:CB97UANXX:1:2304:7567:78698/1	R1	+	-	-	+	0.000000	0.077670
ERR2061621.6125493 7001289F:109:CB97UANXX:1:1108:4620:66511/1	R1	+	-	-	-	0.961538	-
ERR2061621.6125494 7001289F:109:CB97UANXX:1:2206:4119:64833/1	R1	+	-	-	-	0.862069	-
ERR2061621.6125495 7001289F:109:CB97UANXX:1:2104:5109:7041/1	R1	-	+	-	-	0.145833	-
ERR2061621.6125497 7001289F:109:CB97UANXX:1:1102:20351:18022/1	R1	-	+	+	-	0.000000	0.000000
